PUY, -44.320500 -72.567833 47 
RMB, -43.888833 -72.906833 37 
TUR, -42.919167 -72.386667 459 
USP, -44.952500 -73.103333 15 
ETRA, -45.176000 -73.326667 11 
TBIO, -42.919167 -72.386667 459 
VENT, -42.881500 -72.455167 458 
2488, -41.966333 -72.469833 20 
PUEL, -41.663667 -72.296000 25 
HOCH, -41.907500 -72.408333 165 
2490, -40.683833 -72.603333 209 
PUYE, -40.683833 -72.603333 209 
ILCA, -42.060833 -72.536833 15 
CTRO, -42.481500 -73.781500 92 
CTAO, -41.802167 -72.718167 10 
CNTO, -41.802167 -72.718167 10 
CANT, -42.945833 -72.672667 30 
HUDS, -46.058333 -72.689833 1000 
AYSZ, -45.378000 -72.688000 60 
TS1, -45.458500 -72.823167 42 
TS2, -45.374833 -73.035000 35 
TS3, -45.407667 -73.066167 5 
TS4, -45.372000 -73.126833 2 
TS5, -45.321667 -73.088333 35 
TS6, -45.395000 -73.006000 5 
OSOR, -41.120000 -72.530000 1170 
CALB, -41.250000 -72.750000 200 
PVAR, -41.310000 -72.980000 100 
NIEL, -38.720000 -72.580000 350 
CEN1, -23.579000 -70.334000 1090 
CHRN, -47.249333 -72.590333 198 
4F91, -951.683333 -584.283333 1482 
4715, -425.183333 -633.683333 2005 
4710, -504.300000 -772.200000 768 
4F92, -475.983333 -611.183333 1450 
4F93, -996.700000 -322.600000 904 
4F90, -38.462000 -71.699833 1000 
PLCA, -40.732833 -70.550833 1050 
LPAZ, -16.287833 -68.123500 4769 
CO01, -29.977333 -70.094000 2157 
CO02, -31.203500 -71.000167 1149 
CO03, -30.839000 -70.689167 990 
CO04, -32.043333 -70.974667 2401 
CO05, -29.918667 -71.238333 101 
CO06, -30.673833 -71.635000 240 
CO10, -29.240500 -71.460833 35 
AC01, -26.147833 -70.598667 390 
AC02, -26.835500 -69.130167 3390 
AC04, -28.204667 -71.081500 270 
AC05, -28.836333 -70.273833 1286 
AC06, -27.357333 -70.354333 425 
AT03, -27.239167 -70.745500 321 
AC03, -27.239167 -70.745500 321 
BI03, -36.843833 -73.025833 196 
BI04, -38.412000 -73.885333 61 
BI06, -36.131333 -72.788500 23 
LAJA, -37.281000 -72.711167 84 
PMSA, -64.774167 -64.049000  
EFI, -51.675167 -58.063667 110 
RCBR, -54.160833 -35.901333 420 
HOPE, -54.283500 -36.487833  
QF02B, -34.401833 -72.016000 93 
VETA, -39.434833 -71.961333 1840 
LLIF, -40.206333 -72.261333 320 
TUPU, -33.356833 -69.844667 4095 
PINT, -41.810500 -72.352833 1567 
VICU, -18.408000 -69.109667 5176 
CAST, -36.224333 -71.212500 311 
BOSQ, -37.849500 -71.009833 1661 
CHCY, -37.401167 -71.412000 44 
ENQU, -19.206500 -68.826167 4149 
QUIR, -40.348833 -72.113000 326 
SNJO, -33.810667 -69.943000 3611 
